Player ID,Name,Jersey Number,Captain Count,Played Count,Green Card Count,Yellow Card Count,Red Card Count,Starter Count,Top Raider Count,Top Defender Count,Total Points,Team ID,Team Name,Total Matches in Season,season,team_name
12,Jang Kun Lee,4,0,16,0,0,0,15,0,0,63,6,Patna Pirates,22,7,Patna Pirates
249,Hadi Oshtorak,6,0,22,6,0,0,22,0,0,48,6,Patna Pirates,22,7,Patna Pirates
579,Jaideep,8,0,22,1,0,0,20,0,0,52,6,Patna Pirates,22,7,Patna Pirates
3074,Naveen,10,0,1,0,0,0,0,0,0,0,6,Patna Pirates,22,7,Patna Pirates
3146,Amit Kumar,20,0,3,0,0,0,0,0,0,5,6,Patna Pirates,22,7,Patna Pirates
3007,Mahendra Choudhary,17,0,0,0,0,0,0,0,0,0,6,Patna Pirates,22,7,Patna Pirates
300,Abolfazl Maghsodlou,9,0,6,0,0,0,1,0,0,5,31,Gujarat Giants,22,7,Gujarat Giants
3001,Amit,13,0,7,0,0,0,4,0,0,3,31,Gujarat Giants,22,7,Gujarat Giants
764,Vinod Kumar,3,0,10,0,0,0,3,0,0,10,31,Gujarat Giants,22,7,Gujarat Giants
2023,Ruturaj Koravi,12,0,17,0,0,0,10,0,0,17,31,Gujarat Giants,22,7,Gujarat Giants
3128,Sonu,55,0,17,0,0,0,9,0,0,76,31,Gujarat Giants,22,7,Gujarat Giants
757,Sachin,99,0,16,0,0,0,16,0,0,85,31,Gujarat Giants,22,7,Gujarat Giants
368,Sunil Kumar,11,16,18,0,0,0,18,0,0,47,31,Gujarat Giants,22,7,Gujarat Giants
357,Parvesh Bhainswal,5,0,22,0,0,0,22,0,0,55,31,Gujarat Giants,22,7,Gujarat Giants
772,More G B,77,0,19,0,0,0,15,0,0,86,31,Gujarat Giants,22,7,Gujarat Giants
3023,Rohit Gulia,7,6,22,0,0,0,20,0,0,142,31,Gujarat Giants,22,7,Gujarat Giants
3227,Ankit,6,0,12,1,0,0,11,0,0,13,31,Gujarat Giants,22,7,Gujarat Giants
3226,Sumit,44,0,15,1,0,0,13,0,0,15,31,Gujarat Giants,22,7,Gujarat Giants
3225,Harmanjit Singh,33,0,4,0,0,0,2,0,0,5,31,Gujarat Giants,22,7,Gujarat Giants
46,GURVINDER SINGH,2,0,2,0,0,0,0,0,0,4,31,Gujarat Giants,22,7,Gujarat Giants
2306,Lalit chaudhary,1,0,6,0,0,0,1,0,0,6,31,Gujarat Giants,22,7,Gujarat Giants
3089,Pankaj,4,0,11,0,0,0,9,0,0,27,31,Gujarat Giants,22,7,Gujarat Giants
554,Mohammad Hossain,10,0,0,0,0,0,0,0,0,0,31,Gujarat Giants,22,7,Gujarat Giants
3011,Jadhav Shahaji,5,0,19,0,0,0,10,0,0,36,7,Puneri Paltan,22,7,Puneri Paltan
156,Pawan Kadian,12,0,6,0,0,0,5,0,0,25,7,Puneri Paltan,22,7,Puneri Paltan
322,Surjeet Singh,6,21,21,3,0,0,21,0,0,65,7,Puneri Paltan,22,7,Puneri Paltan
3110,Amit Kumar,77,0,15,0,0,0,12,0,0,47,7,Puneri Paltan,22,7,Puneri Paltan
694,Deepak Yadav,33,0,3,0,0,0,3,0,0,0,7,Puneri Paltan,22,7,Puneri Paltan
763,Manjeet ,3,0,22,0,0,0,22,0,0,151,7,Puneri Paltan,22,7,Puneri Paltan
3103,Shubham Shinde,9,0,13,0,0,0,10,0,0,18,7,Puneri Paltan,22,7,Puneri Paltan
161,Girish Maruti Ernak,8,0,17,0,0,0,15,0,0,35,7,Puneri Paltan,22,7,Puneri Paltan
347,Sagar Krishna,1,0,14,0,0,0,11,0,0,16,7,Puneri Paltan,22,7,Puneri Paltan
301,Hadi Tajik,4,0,11,0,0,0,8,0,0,17,7,Puneri Paltan,22,7,Puneri Paltan
718,R. Sriram,18,0,1,0,0,0,1,0,0,0,7,Puneri Paltan,22,7,Puneri Paltan
324,Darshan Kadian,88,0,8,0,0,0,1,0,0,10,7,Puneri Paltan,22,7,Puneri Paltan
3235,Sushant Sail,11,0,11,0,0,0,6,0,0,26,7,Puneri Paltan,22,7,Puneri Paltan
3234,Sanket Sawant,29,0,5,0,0,0,5,0,0,7,7,Puneri Paltan,22,7,Puneri Paltan
3233,Pankaj Mohite,15,0,16,0,0,0,8,0,0,113,7,Puneri Paltan,22,7,Puneri Paltan
2291,Amit Kumar,30,0,6,0,0,0,0,0,0,18,7,Puneri Paltan,22,7,Puneri Paltan
320,Nitin Tomar,10,1,15,0,0,0,14,0,0,73,7,Puneri Paltan,22,7,Puneri Paltan
3179,Emad Sedaghatnia,2,0,3,0,0,0,1,0,0,14,7,Puneri Paltan,22,7,Puneri Paltan
3102,Sandeep,17,0,1,0,0,0,1,0,0,2,7,Puneri Paltan,22,7,Puneri Paltan
274,Krushna Madane,15,0,12,0,0,0,5,0,0,16,8,Telugu Titans,22,7,Telugu Titans
267,Amit Kumar,77,0,9,0,0,0,8,0,0,13,8,Telugu Titans,22,7,Telugu Titans
2298,Armaan,1,0,6,0,0,0,3,0,0,9,8,Telugu Titans,22,7,Telugu Titans
2307,Kamal Singh,5,0,3,0,0,0,1,0,0,2,8,Telugu Titans,22,7,Telugu Titans
3046,Rakesh Gowda,2,0,13,0,0,0,9,0,0,61,8,Telugu Titans,22,7,Telugu Titans
2026,Siddharth Desai,9,4,22,0,0,0,22,0,0,220,8,Telugu Titans,22,7,Telugu Titans
3237,Aakash Arsul,11,0,6,0,0,0,5,0,0,8,8,Telugu Titans,22,7,Telugu Titans
191,C. Arun,55,0,22,0,0,0,20,0,0,27,8,Telugu Titans,22,7,Telugu Titans
482,Farhad Milaghardan,6,0,22,0,0,0,20,0,0,78,8,Telugu Titans,22,7,Telugu Titans
2290,Rajnish,4,0,11,0,0,0,6,0,0,47,8,Telugu Titans,22,7,Telugu Titans
489,Abozar Mighani,10,18,18,0,0,0,18,0,0,40,8,Telugu Titans,22,7,Telugu Titans
3083,Vishal Bhardwaj,7,0,19,5,0,0,19,0,0,63,8,Telugu Titans,22,7,Telugu Titans
3062,Palle Mallikarjun,12,0,5,0,0,0,1,0,0,9,8,Telugu Titans,22,7,Telugu Titans
3058,Suraj Desai,8,0,12,0,0,0,10,0,0,45,8,Telugu Titans,22,7,Telugu Titans
2322,Ankit Beniwal,66,0,8,0,0,0,1,0,0,12,8,Telugu Titans,22,7,Telugu Titans
3167,Manish,99,0,2,0,0,0,2,0,0,2,8,Telugu Titans,22,7,Telugu Titans
3037,Siva Ganesh Reddy,18,0,2,0,0,0,0,0,0,0,8,Telugu Titans,22,7,Telugu Titans
3004,Akash Choudhary,3,0,5,0,0,0,4,0,0,8,8,Telugu Titans,22,7,Telugu Titans
268,Vineet Sharma,44,0,13,0,0,0,5,0,0,19,29,Tamil Thalaivas,22,7,Tamil Thalaivas
3101,Ponparthiban Subramanian,99,0,9,0,0,0,5,0,0,4,29,Tamil Thalaivas,22,7,Tamil Thalaivas
3053,V Ajith Kumar,6,0,19,0,0,0,13,0,0,121,29,Tamil Thalaivas,22,7,Tamil Thalaivas
3181,Milad Sheibak,2,0,1,0,0,0,0,0,0,0,29,Tamil Thalaivas,22,7,Tamil Thalaivas
3236,Sagar,41,0,13,0,0,0,6,0,0,22,29,Tamil Thalaivas,22,7,Tamil Thalaivas
26,Ajay Thakur,7,13,13,2,0,0,13,0,0,58,29,Tamil Thalaivas,22,7,Tamil Thalaivas
3111,Ajeet,8,0,14,1,0,0,14,0,0,14,29,Tamil Thalaivas,22,7,Tamil Thalaivas
69,Manjeet Chhillar,5,5,15,1,0,0,15,0,0,41,29,Tamil Thalaivas,22,7,Tamil Thalaivas
81,Rahul Chaudhari,3,0,22,2,0,0,22,0,0,138,29,Tamil Thalaivas,22,7,Tamil Thalaivas
105,Shabeer Bappu,11,0,14,0,0,0,11,0,0,29,29,Tamil Thalaivas,22,7,Tamil Thalaivas
71,Mohit Chhillar,4,0,18,3,0,0,17,0,0,37,29,Tamil Thalaivas,22,7,Tamil Thalaivas
160,Ran Singh,13,4,21,0,0,0,21,0,0,46,29,Tamil Thalaivas,22,7,Tamil Thalaivas
2257,Victor Obiero,20,0,5,0,0,0,0,0,0,12,29,Tamil Thalaivas,22,7,Tamil Thalaivas
3073,Hemant Chauhan,77,0,4,0,0,0,3,0,0,2,29,Tamil Thalaivas,22,7,Tamil Thalaivas
3161,Himanshu,9,0,5,0,0,0,1,0,0,6,29,Tamil Thalaivas,22,7,Tamil Thalaivas
2325,Anand,45,0,5,0,0,0,1,0,0,6,29,Tamil Thalaivas,22,7,Tamil Thalaivas
2282,Yashwant Bishnoi,10,0,3,0,0,0,0,0,0,2,29,Tamil Thalaivas,22,7,Tamil Thalaivas
3014,M. Abishek,66,0,9,0,0,0,7,0,0,13,29,Tamil Thalaivas,22,7,Tamil Thalaivas
757,Sachin,99,0,23,7,1,0,23,2,0,181,6,Patna Pirates,24,8,Patna Pirates
3107,Neeraj Kumar,5,0,23,1,0,0,23,0,0,54,6,Patna Pirates,24,8,Patna Pirates
3343,Sajin C,11,0,23,9,4,0,23,0,1,35,6,Patna Pirates,24,8,Patna Pirates
155,Prashanth Kumar Rai,4,23,23,8,0,0,23,1,0,96,6,Patna Pirates,24,8,Patna Pirates
3032,Guman Singh,15,0,19,0,0,0,11,2,0,97,6,Patna Pirates,24,8,Patna Pirates
3106,Sunil,50,0,22,3,1,0,22,0,1,49,6,Patna Pirates,24,8,Patna Pirates
4925,Mohammadreza Chiyaneh,8,0,24,4,0,0,24,0,4,94,6,Patna Pirates,24,8,Patna Pirates
388,Monu Goyat,2,0,14,1,0,0,12,1,0,93,6,Patna Pirates,24,8,Patna Pirates
3593,Sourav Gulia,3,0,3,0,0,0,1,0,0,5,6,Patna Pirates,24,8,Patna Pirates
3103,Shubham Shinde,9,0,19,2,0,0,2,0,0,18,6,Patna Pirates,24,8,Patna Pirates
3082,Monu,55,1,15,1,0,0,1,0,0,24,6,Patna Pirates,24,8,Patna Pirates
3036,Mohit,77,0,1,0,0,0,1,0,0,3,6,Patna Pirates,24,8,Patna Pirates
299,Sandeep,66,0,2,0,0,0,0,0,0,0,6,Patna Pirates,24,8,Patna Pirates
264,Selvamani K,28,0,3,0,0,0,0,0,0,4,6,Patna Pirates,24,8,Patna Pirates
3174,Daniel Odhiambo,6,0,1,0,0,0,1,0,0,2,6,Patna Pirates,24,8,Patna Pirates
4978,Balaji D,44,0,1,0,0,0,1,0,0,1,6,Patna Pirates,24,8,Patna Pirates
4957,Manish,1,0,1,0,0,0,0,0,0,0,6,Patna Pirates,24,8,Patna Pirates
4693,Manuj,12,0,1,0,0,0,0,0,0,1,6,Patna Pirates,24,8,Patna Pirates
4975,Sunder,21,0,1,0,0,0,0,0,0,0,6,Patna Pirates,24,8,Patna Pirates
4958,Rohit,42,0,1,0,0,0,0,0,0,1,6,Patna Pirates,24,8,Patna Pirates
2296,Naveen Kumar,10,2,17,0,0,0,17,5,0,210,2,Dabang Delhi K.C.,24,8,Dabang Delhi K.C.
54,Jeeva Kumar,6,0,21,0,0,0,19,0,1,23,2,Dabang Delhi K.C.,24,8,Dabang Delhi K.C.
69,Manjeet Chhillar,5,5,24,11,1,0,24,0,1,53,2,Dabang Delhi K.C.,24,8,Dabang Delhi K.C.
3081,Vijay,1,0,23,1,0,0,23,1,0,162,2,Dabang Delhi K.C.,24,8,Dabang Delhi K.C.
4947,Ashu Malik,22,0,22,0,0,0,19,0,0,59,2,Dabang Delhi K.C.,24,8,Dabang Delhi K.C.
142,Sandeep Narwal,91,0,24,6,1,0,23,0,3,64,2,Dabang Delhi K.C.,24,8,Dabang Delhi K.C.
194,Joginder Narwal,8,17,19,6,0,0,19,0,1,32,2,Dabang Delhi K.C.,24,8,Dabang Delhi K.C.
4949,Krishan,4,0,21,0,0,0,11,0,0,27,2,Dabang Delhi K.C.,24,8,Dabang Delhi K.C.
3038,Neeraj Narwal,9,0,19,0,0,0,4,0,0,47,2,Dabang Delhi K.C.,24,8,Dabang Delhi K.C.
3152,Nitin Panwar,20,0,1,0,0,0,0,0,0,2,2,Dabang Delhi K.C.,24,8,Dabang Delhi K.C.
4941,Mohammad Malak,55,0,5,0,0,0,1,0,0,4,2,Dabang Delhi K.C.,24,8,Dabang Delhi K.C.
