season,match_id,match_name,league_stage,year,venue,winning_margin,team_score_1,team_score_2,team_name_1,team_id_1,team_name_2,team_id_2,total_points_match,winner,loser,max_score
7,1789,Match 105,League,2019,"Sawai Man Singh Indoor Stadium, Jaipur",0,39,39,Dabang Delhi K.C.,2,Bengaluru Bulls,1,78,tied,tied,39
7,1790,Match 106,League,2019,"Sawai Man Singh Indoor Stadium, Jaipur",1,39,40,Telugu Titans,8,Bengal Warriors,4,79,Bengal Warriors,Telugu Titans,40
7,1791,Match 107,League,2019,"Sawai Man Singh Indoor Stadium, Jaipur",9,43,34,Jaipur Pink Panthers,3,Puneri Paltan,7,77,Jaipur Pink Panthers,Puneri Paltan,43
7,1792,Match 108,League,2019,"Sawai Man Singh Indoor Stadium, Jaipur",4,39,43,Patna Pirates,6,Dabang Delhi K.C.,2,82,Dabang Delhi K.C.,Patna Pirates,43
7,1793,Match 109,League,2019,"Sawai Man Singh Indoor Stadium, Jaipur",2,33,35,U Mumba,5,Bengaluru Bulls,1,68,Bengaluru Bulls,U Mumba,35
7,1794,Match 110,League,2019,"Sawai Man Singh Indoor Stadium, Jaipur",20,31,51,Jaipur Pink Panthers,3,Telugu Titans,8,82,Telugu Titans,Jaipur Pink Panthers,51
7,1795,Match 111,League,2019,"Tau Devilal Sports Complex, Panchkula",7,30,37,Haryana Steelers,28,U.P. Yoddha,30,67,U.P. Yoddha,Haryana Steelers,37
7,1796,Match 112,League,2019,"Tau Devilal Sports Complex, Panchkula",29,50,21,Gujarat Giants,31,Tamil Thalaivas,29,71,Gujarat Giants,Tamil Thalaivas,50
7,1797,Match 113,League,2019,"Tau Devilal Sports Complex, Panchkula",20,40,60,Puneri Paltan,7,Dabang Delhi K.C.,2,100,Dabang Delhi K.C.,Puneri Paltan,60
7,1798,Match 114,League,2019,"Tau Devilal Sports Complex, Panchkula",1,38,37,Haryana Steelers,28,Gujarat Giants,31,75,Haryana Steelers,Gujarat Giants,38
7,1799,Match 115,League,2019,"Tau Devilal Sports Complex, Panchkula",9,42,33,Bengal Warriors,4,Dabang Delhi K.C.,2,75,Bengal Warriors,Dabang Delhi K.C.,42
7,1800,Match 116,League,2019,"Tau Devilal Sports Complex, Panchkula",4,32,36,Tamil Thalaivas,29,U Mumba,5,68,U Mumba,Tamil Thalaivas,36
7,1801,Match 117,League,2019,"Tau Devilal Sports Complex, Panchkula",4,30,26,U Mumba,5,Patna Pirates,6,56,U Mumba,Patna Pirates,30
7,1802,Match 118,League,2019,"Tau Devilal Sports Complex, Panchkula",23,36,59,Haryana Steelers,28,Bengaluru Bulls,1,95,Bengaluru Bulls,Haryana Steelers,59
7,1803,Match 119,League,2019,"Tau Devilal Sports Complex, Panchkula",3,50,53,Telugu Titans,8,Puneri Paltan,7,103,Puneri Paltan,Telugu Titans,53
7,1804,Match 120,League,2019,"Tau Devilal Sports Complex, Panchkula",7,41,34,Jaipur Pink Panthers,3,Bengaluru Bulls,1,75,Jaipur Pink Panthers,Bengaluru Bulls,41
7,1805,Match 121,League,2019,"Tau Devilal Sports Complex, Panchkula",20,52,32,Haryana Steelers,28,Telugu Titans,8,84,Haryana Steelers,Telugu Titans,52
7,1806,Match 122,League,2019,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",17,50,33,U.P. Yoddha,30,Dabang Delhi K.C.,2,83,U.P. Yoddha,Dabang Delhi K.C.,50
