player_id,name,jersey_number,captain_count,played_count,green_card_count,yellow_card_count,red_card_count,starter_count,top_raider_count,top_defender_count,total_points,team_id,team_name,total_matches_in_season,season,team_name,cards_total
120,V. Satyanarayana,9,0,3,0,0,0,2,0,0,0,8,Telugu Titans,14,1,Telugu Titans,0
149,Kiran A,8,0,4,0,0,0,3,0,0,0,8,Telugu Titans,14,1,Telugu Titans,0
152,D. Gopu,5,0,14,0,0,0,13,0,0,7,8,Telugu Titans,14,1,Telugu Titans,0
155,Prashanth Kumar Rai,14,0,7,0,0,0,1,0,0,8,8,Telugu Titans,14,1,Telugu Titans,0
165,Sachin Shingade,17,0,10,0,0,0,9,0,0,1,8,Telugu Titans,14,1,Telugu Titans,0
166,Vijendar Singh,16,0,8,1,0,0,8,0,0,0,8,Telugu Titans,14,1,Telugu Titans,1
162,D. Suresh Kumar,1,0,0,0,0,0,0,0,0,0,8,Telugu Titans,14,1,Telugu Titans,0
4,Ehsan Zamani Fard,1,0,8,3,0,0,2,0,0,8,2,Dabang Delhi K.C.,14,1,Dabang Delhi K.C.,3
9,Takamitsu Kono,15,0,1,0,0,0,0,0,0,1,2,Dabang Delhi K.C.,14,1,Dabang Delhi K.C.,0
11,Dong Ju Hong,55,0,2,0,0,0,1,0,0,1,2,Dabang Delhi K.C.,14,1,Dabang Delhi K.C.,0
28,Amit Singh Chhillar,4,0,14,2,0,0,14,0,0,2,2,Dabang Delhi K.C.,14,1,Dabang Delhi K.C.,2
33,Bhabesh Kumar,0,0,0,0,0,0,0,0,0,0,2,Dabang Delhi K.C.,14,1,Dabang Delhi K.C.,0
38,Dadaso Balaso Awad,9,0,5,0,0,0,3,0,0,2,2,Dabang Delhi K.C.,14,1,Dabang Delhi K.C.,0
47,Haresh Jalmi,8,0,0,0,0,0,0,0,0,0,2,Dabang Delhi K.C.,14,1,Dabang Delhi K.C.,0
51,Jasmer Singh Gulia,7,14,14,1,0,0,14,0,0,11,2,Dabang Delhi K.C.,14,1,Dabang Delhi K.C.,1
58,Kashiling Adake,11,0,14,1,0,0,14,0,0,156,2,Dabang Delhi K.C.,14,1,Dabang Delhi K.C.,1
80,Punit Kumar Teotia,5,0,4,0,0,0,4,0,0,7,2,Dabang Delhi K.C.,14,1,Dabang Delhi K.C.,0
107,Shrikant Tewthia,12,0,14,1,0,0,14,0,0,63,2,Dabang Delhi K.C.,14,1,Dabang Delhi K.C.,1
118,Surjeet Narwal,10,0,14,2,0,0,14,0,0,158,2,Dabang Delhi K.C.,14,1,Dabang Delhi K.C.,2
157,Ravinder Pahal,6,0,9,1,0,0,9,0,0,0,2,Dabang Delhi K.C.,14,1,Dabang Delhi K.C.,1
158,Rakesh Singh Kumar,3,0,9,0,0,0,9,0,0,1,2,Dabang Delhi K.C.,14,1,Dabang Delhi K.C.,0
5,Farhad Kamal Gharibi,99,0,2,0,0,0,0,0,0,0,4,Bengal Warriors,14,1,Bengal Warriorz,0
12,Jang Kun Lee,4,0,11,1,0,0,10,0,0,79,4,Bengal Warriors,14,1,Bengal Warriorz,1
13,Seong Ryeol Kim,85,0,3,0,0,0,2,0,0,0,4,Bengal Warriors,14,1,Bengal Warriorz,0
48,Hitesh Patel,22,0,0,0,0,0,0,0,0,0,4,Bengal Warriors,14,1,Bengal Warriorz,0
66,Mahesh Goud,1,1,13,0,0,0,5,0,0,81,4,Bengal Warriors,14,1,Bengal Warriorz,0
73,Nilesh Shinde,6,12,14,0,0,0,14,0,0,9,4,Bengal Warriors,14,1,Bengal Warriorz,0
75,Nitin Madane,7,0,12,1,0,0,12,0,0,137,4,Bengal Warriors,14,1,Bengal Warriorz,1
77,Parveen Kumar,66,0,8,0,0,0,8,0,0,0,4,Bengal Warriors,14,1,Bengal Warriorz,0
98,Sachin Khambe,0,0,14,0,0,0,14,0,0,7,4,Bengal Warriors,14,1,Bengal Warriorz,0
99,Sanjay Sharma,3,0,0,0,0,0,0,0,0,0,4,Bengal Warriors,14,1,Bengal Warriorz,0
108,Shyam Kumar Sah,0,0,13,0,0,0,11,0,0,19,4,Bengal Warriors,14,1,Bengal Warriorz,0
141,Sunil Jaipal,66,0,13,3,0,0,10,0,0,62,4,Bengal Warriors,14,1,Bengal Warriorz,3
163,Mahendra Ganesh Rajput,6,0,8,0,0,0,5,0,0,37,4,Bengal Warriors,14,1,Bengal Warriorz,0
164,Bajirao Hodage,3,0,6,0,0,0,6,0,0,0,4,Bengal Warriors,14,1,Bengal Warriorz,0
